site,lizard_id,coleoptera,hemiptera,thysanura,araneae,hymenoptera,gastropoda,lepidoptera,orthoptera,diptera,isopoda,lepidoptera_larvae,spider_egg,diptera_larvae,coleoptera_larvae,acari,neuroptera_larvae,pseudoscorpiones,blattodea,odonata,insect_egg,raphidioptera
SMONI,SMONI-522-07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-37,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-14,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-20,0,22,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
VIGLA,VIGLA-517-03,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-02,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VIGLA,VIGLA-517-23,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-15,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VIGLA,VIGLA-517-19,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-06,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-16,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-22,1,48,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
VIGLA,VIGLA-517-21,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
VIGLA,VIGLA-517-17,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-25,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGLA,VIGLA-517-18,1,22,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WMONI,WMONI-523-30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-34,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-09,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WMONI,WMONI-523-51,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-17,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-36,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WMONI,WMONI-523-19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-35,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-54,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-14,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-03,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-23,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
WMONI,WMONI-523-37,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-31,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
WMONI,WMONI-523-11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-25,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-49,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-32,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-50,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMONI,WMONI-523-06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
