site,date,lizard_id,comments,order,count
NALYKO,01-Oct-14,NALYKO-601-04,NA,coleoptera,1
NALYKO,01-Oct-14,NALYKO-601-04,NA,lepidoptera_larvae,1
NALYKO,01-Oct-14,NALYKO-601-05,NA,odonata,1
NALYKO,01-Oct-14,NALYKO-601-05,NA,araneae,1
NALYKO,01-Oct-14,NALYKO-601-02,unidentified thing: grey shell thing with black lines,blattodea,1
RACHI,07-Nov-14,RACHI-320-14,NA,coleoptera,1
RACHI,07-Nov-14,RACHI-320-14,NA,hymenoptera,3
RACHI,07-Nov-14,RACHI-320-14,NA,gastropoda,1
RACHI,07-Nov-14,RACHI-320-04,NA,hymenoptera,1
RACHI,07-Nov-14,RACHI-320-04,NA,araneae,1
RACHI,07-Nov-14,RACHI-320-08,NA,orthoptera,1
RACHI,07-Nov-14,RACHI-320-08,NA,gastropoda,1
RACHI,07-Nov-14,RACHI-320-03,NA,diptera,1
RACHI,07-Nov-14,RACHI-320-03,NA,hymenoptera,1
RACHI,07-Nov-14,RACHI-320-03,NA,araneae,1
RACHI,07-Nov-14,RACHI-320-03,NA,gastropoda,1
RACHI,07-Nov-14,RACHI-320-09,NA,coleoptera,1
RACHI,07-Nov-14,RACHI-320-09,NA,hymenoptera,1
RACHI,07-Nov-14,RACHI-320-09,NA,gastropoda,1
RACHI,07-Nov-14,RACHI-320-12,NA,coleoptera,1
RACHI,07-Nov-14,RACHI-320-12,NA,orthoptera,1
RACHI,07-Nov-14,RACHI-320-12,NA,diptera_larvae,1
RACHI,07-Nov-14,RACHI-320-12,NA,lepidoptera_larvae,1
RACHI,07-Nov-14,RACHI-320-12,NA,araneae,1
RACHI,07-Nov-14,RACHI-320-02,NA,diptera,1
RACHI,07-Nov-14,RACHI-320-02,NA,hymenoptera,1
RACHI,07-Nov-14,RACHI-320-02,NA,orthoptera,1
RACHI,07-Nov-14,RACHI-320-06,NA,hymenoptera,1
RACHI,07-Nov-14,RACHI-320-06,NA,araneae,1
RACHI,07-Nov-14,RACHI-320-05,NA,coleoptera,1
RACHI,07-Nov-14,RACHI-320-05,NA,hymenoptera,1
RACHI,07-Nov-14,RACHI-320-05,NA,araneae,1
RACHI,07-Nov-14,RACHI-320-05,NA,gastropoda,1
RACHI,07-Nov-14,RACHI-320-13,NA,hemiptera,1
RACHI,07-Nov-14,RACHI-320-13,NA,hymenoptera,1
SAGRI,04-Nov-14,SAGRI- 521-03,NA,coleoptera,1
SAGRI,04-Nov-14,SAGRI- 521-03,NA,hemiptera,1
SAGRI,04-Nov-14,SAGRI- 521-10,NA,coleoptera,1
SAGRI,04-Nov-14,SAGRI- 521-10,NA,orthoptera,1
SAGRI,04-Nov-14,SAGRI- 521-10,NA,gastropoda,1
SAGRI,04-Nov-14,SAGRI- 521-01,NA,hemiptera,1
SAGRI,04-Nov-14,SAGRI- 521-01,NA,hymenoptera,1
SAGRI,04-Nov-14,SAGRI- 521-11,eggs were probably inside grasshopper,orthoptera,1
SAGRI,04-Nov-14,SAGRI- 521-11,eggs were probably inside grasshopper,insect_egg,7
SAGRI,04-Nov-14,SAGRI- 521-08,NA,orthoptera,1
SAGRI,04-Nov-14,SAGRI- 521-07,NA,orthoptera,1
SAGRI,04-Nov-14,SAGRI- 521-09,NA,hemiptera,1
SAGRI,04-Nov-14,SAGRI- 521-09,NA,orthoptera,1
