sample,site,sample_type,date,lizard_id,order,count,comments
DI-EMONI-516_26,EMONI,diet,16-May-14,EMONI-516-26,hymenoptera,6,NA
DI-EMONI-516_26,EMONI,diet,16-May-14,EMONI-516-26,araneae,1,NA
DI-EMONI-516_26,EMONI,diet,16-May-14,EMONI-516-26,gastropoda,1,NA
DI-EMONI-516_26,EMONI,diet,16-May-14,EMONI-516-26,larvae,1,NA
DI-EMONI-516_29,EMONI,diet,16-May-14,EMONI-516-29,coleoptera,3,NA
DI-EMONI-516_29,EMONI,diet,16-May-14,EMONI-516-29,hemiptera,2,NA
DI-EMONI-516_29,EMONI,diet,16-May-14,EMONI-516-29,hymenoptera,3,NA
DI-EMONI-516_29,EMONI,diet,16-May-14,EMONI-516-29,araneae,3,NA
DI-EMONI-516_29,EMONI,diet,16-May-14,EMONI-516-29,larvae,3,NA
DI-MALYKO-602_17,MALYKO,diet,07-Oct-14,MALYKO-602-17,hymenoptera,5,NA
DI-MALYKO-602_17,MALYKO,diet,07-Oct-14,MALYKO-602-17,orthoptera,1,NA
DI-MALYKO-602_17,MALYKO,diet,07-Oct-14,MALYKO-602-17,araneae,2,NA
DI-MALYKO-602_17,MALYKO,diet,07-Oct-14,MALYKO-602-17,gastropoda,1,NA
DI-MALYKO-602_11,MALYKO,diet,07-Oct-14,MALYKO-602-11,araneae,1,NA
DI-MALYKO-602_20,MALYKO,diet,07-Oct-14,MALYKO-602-20,hemiptera,9,NA
DI-MALYKO-602_20,MALYKO,diet,07-Oct-14,MALYKO-602-20,hymenoptera,1,NA
DI-MALYKO-602_K2,MALYKO,diet,07-Oct-14,MALYKO-602-K2,hymenoptera,3,mealworm
DI-MALYKO-602_02,MALYKO,diet,07-Oct-14,MALYKO-602-02,coleoptera,1,NA
DI-MALYKO-602_02,MALYKO,diet,07-Oct-14,MALYKO-602-02,hemiptera,1,NA
DI-MALYKO-602_02,MALYKO,diet,07-Oct-14,MALYKO-602-02,orthoptera,1,NA
DI-MALYKO-602_02,MALYKO,diet,07-Oct-14,MALYKO-602-02,larvae,3,NA
DI-MALYKO-602_07,MALYKO,diet,07-Oct-14,MALYKO-602-07,coleoptera,1,mealworm
DI-MALYKO-602_09,MALYKO,diet,07-Oct-14,MALYKO-602-09,hymenoptera,1,NA
DI-MALYKO-602_12,MALYKO,diet,07-Oct-14,MALYKO-602-12,coleoptera,4,NA
DI-MALYKO-602_12,MALYKO,diet,07-Oct-14,MALYKO-602-12,hymenoptera,1,NA
DI-MALYKO-602_15,MALYKO,diet,07-Oct-14,MALYKO-602-15,coleoptera,1,mealworm
DI-NALYKO-601_01,NALYKO,diet,01-Oct-14,NALYKO-601-01,coleoptera,2,NA
DI-NALYKO-601_01,NALYKO,diet,01-Oct-14,NALYKO-601-01,araneae,1,NA
DI-NALYKO-601_06,NALYKO,diet,01-Oct-14,NALYKO-601-06,coleoptera,2,mealworm
DI-NALYKO-601_06,NALYKO,diet,01-Oct-14,NALYKO-601-06,araneae,1,mealworm
DI-NALYKO-601_06,NALYKO,diet,01-Oct-14,NALYKO-601-06,larvae,1,mealworm
DI-NALYKO-601_07,NALYKO,diet,01-Oct-14,NALYKO-601-07,larvae,1,NA
DI-NALYKO-601_04,NALYKO,diet,01-Oct-14,NALYKO-601-04,coleoptera,1,NA
DI-NALYKO-601_04,NALYKO,diet,01-Oct-14,NALYKO-601-04,larvae,1,NA
DI-NALYKO-601_05,NALYKO,diet,01-Oct-14,NALYKO-601-05,araneae,1,NA
DI-RACHI-320_14,RACHI,diet,07-Nov-14,RACHI-320-14,coleoptera,1,NA
DI-RACHI-320_14,RACHI,diet,07-Nov-14,RACHI-320-14,hymenoptera,3,NA
DI-RACHI-320_14,RACHI,diet,07-Nov-14,RACHI-320-14,gastropoda,1,NA
DI-RACHI-320_04,RACHI,diet,07-Nov-14,RACHI-320-04,hymenoptera,1,NA
DI-RACHI-320_04,RACHI,diet,07-Nov-14,RACHI-320-04,araneae,1,NA
DI-RACHI-320_08,RACHI,diet,07-Nov-14,RACHI-320-08,orthoptera,1,NA
DI-RACHI-320_08,RACHI,diet,07-Nov-14,RACHI-320-08,gastropoda,1,NA
DI-RACHI-320_03,RACHI,diet,07-Nov-14,RACHI-320-03,hymenoptera,1,NA
DI-RACHI-320_03,RACHI,diet,07-Nov-14,RACHI-320-03,araneae,1,NA
DI-RACHI-320_03,RACHI,diet,07-Nov-14,RACHI-320-03,gastropoda,1,NA
DI-RACHI-320_09,RACHI,diet,07-Nov-14,RACHI-320-09,coleoptera,1,NA
DI-RACHI-320_09,RACHI,diet,07-Nov-14,RACHI-320-09,hymenoptera,1,NA
DI-RACHI-320_09,RACHI,diet,07-Nov-14,RACHI-320-09,gastropoda,1,NA
DI-RACHI-320_12,RACHI,diet,07-Nov-14,RACHI-320-12,coleoptera,1,NA
DI-RACHI-320_12,RACHI,diet,07-Nov-14,RACHI-320-12,orthoptera,1,NA
DI-RACHI-320_12,RACHI,diet,07-Nov-14,RACHI-320-12,araneae,1,NA
DI-RACHI-320_12,RACHI,diet,07-Nov-14,RACHI-320-12,larvae,2,NA
DI-RACHI-320_02,RACHI,diet,07-Nov-14,RACHI-320-02,hymenoptera,1,NA
DI-RACHI-320_02,RACHI,diet,07-Nov-14,RACHI-320-02,orthoptera,1,NA
DI-RACHI-320_06,RACHI,diet,07-Nov-14,RACHI-320-06,hymenoptera,1,NA
DI-RACHI-320_06,RACHI,diet,07-Nov-14,RACHI-320-06,araneae,1,NA
DI-RACHI-320_05,RACHI,diet,07-Nov-14,RACHI-320-05,coleoptera,1,NA
DI-RACHI-320_05,RACHI,diet,07-Nov-14,RACHI-320-05,hymenoptera,1,NA
DI-RACHI-320_05,RACHI,diet,07-Nov-14,RACHI-320-05,araneae,1,NA
DI-RACHI-320_05,RACHI,diet,07-Nov-14,RACHI-320-05,gastropoda,1,NA
DI-RACHI-320_13,RACHI,diet,07-Nov-14,RACHI-320-13,hemiptera,1,NA
DI-RACHI-320_13,RACHI,diet,07-Nov-14,RACHI-320-13,hymenoptera,1,NA
DI-SAGRI- 521_03,SAGRI,diet,04-Nov-14,SAGRI- 521-03,coleoptera,1,NA
DI-SAGRI- 521_03,SAGRI,diet,04-Nov-14,SAGRI- 521-03,hemiptera,1,NA
DI-SAGRI- 521_10,SAGRI,diet,04-Nov-14,SAGRI- 521-10,coleoptera,1,NA
DI-SAGRI- 521_10,SAGRI,diet,04-Nov-14,SAGRI- 521-10,orthoptera,1,NA
DI-SAGRI- 521_10,SAGRI,diet,04-Nov-14,SAGRI- 521-10,gastropoda,1,NA
DI-SAGRI- 521_01,SAGRI,diet,04-Nov-14,SAGRI- 521-01,hemiptera,1,NA
DI-SAGRI- 521_01,SAGRI,diet,04-Nov-14,SAGRI- 521-01,hymenoptera,1,NA
DI-SAGRI- 521_11,SAGRI,diet,04-Nov-14,SAGRI- 521-11,orthoptera,1,eggs were probably inside grasshopper
DI-SAGRI- 521_08,SAGRI,diet,04-Nov-14,SAGRI- 521-08,orthoptera,1,NA
DI-SAGRI- 521_07,SAGRI,diet,04-Nov-14,SAGRI- 521-07,orthoptera,1,NA
DI-SAGRI- 521_09,SAGRI,diet,04-Nov-14,SAGRI- 521-09,hemiptera,1,NA
DI-SAGRI- 521_09,SAGRI,diet,04-Nov-14,SAGRI- 521-09,orthoptera,1,NA
DI-SAGRI- 521_09,SAGRI,diet,04-Nov-14,SAGRI- 521-09,araneae,1,NA
DI-SMONI-522_01,SMONI,diet,22-Jun-14,SMONI-522-01,coleoptera,1,NA
DI-SMONI-522_01,SMONI,diet,22-Jun-14,SMONI-522-01,araneae,1,NA
DI-SMONI-522_17,SMONI,diet,22-Jun-14,SMONI-522-17,coleoptera,2,formicidae
DI-SMONI-522_17,SMONI,diet,22-Jun-14,SMONI-522-17,hymenoptera,1,formicidae
DI-SMONI-522_35,SMONI,diet,22-Jun-14,SMONI-522-35,coleoptera,1,NA
DI-SMONI-522_35,SMONI,diet,22-Jun-14,SMONI-522-35,hymenoptera,1,NA
DI-SMONI-522_33,SMONI,diet,22-Jun-14,SMONI-522-33,hemiptera,2,Nymph (hem)
DI-SMONI-522_33,SMONI,diet,22-Jun-14,SMONI-522-33,araneae,1,Nymph (hem)
DI-SMONI-522_03,SMONI,diet,22-Jun-14,SMONI-522-03,coleoptera,1,Nematode. Formicidae
DI-SMONI-522_03,SMONI,diet,22-Jun-14,SMONI-522-03,hymenoptera,1,Nematode. Formicidae
DI-SMONI-522_22,SMONI,diet,07-Nov-14,SMONI-522-22,coleoptera,2,NA
DI-SMONI-522_22,SMONI,diet,07-Nov-14,SMONI-522-22,hemiptera,2,NA
DI-SMONI-522_22,SMONI,diet,07-Nov-14,SMONI-522-22,orthoptera,1,NA
DI-SMONI-522_22,SMONI,diet,07-Nov-14,SMONI-522-22,gastropoda,1,NA
DI-SMONI-522_22,SMONI,diet,07-Nov-14,SMONI-522-22,larvae,1,NA
DI-SMONI-522_05,SMONI,diet,07-Nov-14,SMONI-522-05,hymenoptera,3,NA
DI-SMONI-522_05,SMONI,diet,07-Nov-14,SMONI-522-05,araneae,2,NA
DI-SMONI-522_26,SMONI,diet,07-Nov-14,SMONI-522-26,hemiptera,1,NA
DI-SMONI-522_26,SMONI,diet,07-Nov-14,SMONI-522-26,hymenoptera,1,NA
DI-SMONI-522_26,SMONI,diet,07-Nov-14,SMONI-522-26,araneae,2,NA
DI-SMONI-522_04,SMONI,diet,07-Nov-14,SMONI-522-04,coleoptera,1,NA
DI-SMONI-522_04,SMONI,diet,07-Nov-14,SMONI-522-04,larvae,1,NA
DI-SMONI-522_21,SMONI,diet,07-Nov-14,SMONI-522-21,coleoptera,1,NA
DI-SMONI-522_21,SMONI,diet,07-Nov-14,SMONI-522-21,gastropoda,1,NA
DI-SMONI-522_21,SMONI,diet,07-Nov-14,SMONI-522-21,larvae,3,NA
DI-SMONI-522_38,SMONI,diet,07-Nov-14,SMONI-522-38,hymenoptera,2,NA
