island,site,date,lizard_id,blattodea,coleoptera,diptera,embioptera,hemiptera,hymenoptera,isoptera,lepidoptera,neuroptera,odonata,orthoptera,psocoptera,raphidioptera,thysanura,insect_egg,spider_egg,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,neuroptera_larvae,odonata_larvae,acari,araneae,chilopoda,diplopoda,isopoda,pseudoscorpiones,gastropoda,sea_shell,berry,flower_parts,juniper_berry,leaf,seed,seed_pod,stick,lizard,sand,salt,comments
Naxos,SMONI,07-Nov-14,SMONI-522-22,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-05,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-09,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-06,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-32,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-10,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-13,0,0,1,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-02,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-30,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,SMONI,07-Nov-14,SMONI-522-37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,RACHI,07-Nov-14,RACHI-320-14,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,RACHI,07-Nov-14,RACHI-320-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
